STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       1303;2023090100:32;    1;  112.0;    0.0;    0.0;   0;   119.80;2023090101:00;eor
       1303;2023090101:32;    1;  123.0;    0.0;    0.0;   0;   117.10;2023090102:00;eor
       1303;2023090102:32;    1;  117.0;    0.0;    0.0;   0;   112.04;2023090103:00;eor
       1303;2023090103:32;    1;  131.0;    0.0;    0.0;   0;   105.16;2023090104:00;eor
       1303;2023090104:32;    1;  130.0;    0.0;    0.0;   0;    97.02;2023090105:00;eor
       1303;2023090105:32;    1;  134.0;    4.0;    4.0;   0;    88.09;2023090106:00;eor
       1303;2023090106:32;    1;  133.0;   26.0;   28.0;   1;    78.80;2023090107:00;eor
       1303;2023090107:32;    1;  137.0;   39.0;   40.0;   0;    69.54;2023090108:00;eor
       1303;2023090108:32;    1;  138.0;   49.0;   51.0;   0;    60.73;2023090109:00;eor
       1303;2023090109:32;    1;  142.0;   30.0;   31.0;   0;    52.94;2023090110:00;eor
       1303;2023090110:32;    1;  144.0;   17.0;   18.0;   0;    46.92;2023090111:00;eor
       1303;2023090111:32;    1;  144.0;   43.0;   44.0;   0;    43.56;2023090112:00;eor
       1303;2023090112:32;    1;  143.0;   56.0;   59.0;   0;    43.58;2023090113:00;eor
       1303;2023090113:32;    1;  144.0;   62.0;   64.0;   0;    46.96;2023090114:00;eor
       1303;2023090114:32;    1;  140.0;   92.0;  117.0;   3;    53.01;2023090115:00;eor
       1303;2023090115:32;    1;  130.0;   68.0;  168.0;  49;    60.82;2023090116:00;eor
       1303;2023090116:32;    1;  129.0;   36.0;   47.0;  13;    69.65;2023090117:00;eor
       1303;2023090117:32;    1;  123.0;   23.0;   44.0;  53;    78.93;2023090118:00;eor
       1303;2023090118:32;    1;  119.0;    5.0;    5.0;   9;    88.25;2023090119:00;eor
       1303;2023090119:32;    1;  119.0;    0.0;    0.0;   0;    97.20;2023090120:00;eor
       1303;2023090120:32;    1;  129.0;    0.0;    0.0;   0;   105.38;2023090121:00;eor
       1303;2023090121:32;    1;  126.0;    0.0;    0.0;   0;   112.30;2023090122:00;eor
       1303;2023090122:32;    1;  128.0;    0.0;    0.0;   0;   117.40;2023090123:00;eor
       1303;2023090123:32;    1;  135.0;    0.0;    0.0;   0;   120.15;2023090200:00;eor
       1303;2023090200:32;    1;  131.0;    0.0;    0.0;   0;   120.16;2023090201:00;eor
       1303;2023090201:32;    1;  128.0;    0.0;    0.0;   0;   117.45;2023090202:00;eor
       1303;2023090202:32;    1;  133.0;    0.0;    0.0;   0;   112.37;2023090203:00;eor
       1303;2023090203:32;    1;  123.0;    0.0;    0.0;   0;   105.47;2023090204:00;eor
       1303;2023090204:32;    1;  124.0;    0.0;    0.0;   0;    97.31;2023090205:00;eor
       1303;2023090205:32;    1;  130.0;    4.0;    5.0;   0;    88.38;2023090206:00;eor
       1303;2023090206:31;    1;  134.0;   18.0;   19.0;   0;    79.09;2023090207:00;eor
       1303;2023090207:31;    1;  134.0;   38.0;   40.0;   0;    69.82;2023090208:00;eor
       1303;2023090208:31;    1;  134.0;   66.0;   69.0;   0;    61.03;2023090209:00;eor
       1303;2023090209:31;    1;  127.0;  107.0;  147.0;  27;    53.26;2023090210:00;eor
       1303;2023090210:31;    1;  134.0;  129.0;  179.0;  40;    47.26;2023090211:00;eor
       1303;2023090211:31;    1;  137.0;  142.0;  168.0;  24;    43.93;2023090212:00;eor
       1303;2023090212:31;    1;  141.0;  124.0;  136.0;   7;    43.94;2023090213:00;eor
       1303;2023090213:31;    1;  140.0;  106.0;  114.0;   2;    47.30;2023090214:00;eor
       1303;2023090214:31;    1;  134.0;  100.0;  142.0;  39;    53.32;2023090215:00;eor
       1303;2023090215:31;    1;  132.0;   68.0;   96.0;  22;    61.12;2023090216:00;eor
       1303;2023090216:31;    1;  126.0;   38.0;   97.0;  57;    69.93;2023090217:00;eor
       1303;2023090217:31;    1;  126.0;   24.0;   45.0;  59;    79.22;2023090218:00;eor
       1303;2023090218:31;    1;  123.0;    3.0;    3.0;   5;    88.54;2023090219:00;eor
       1303;2023090219:31;    1;  121.0;    0.0;    0.0;   0;    97.50;2023090220:00;eor
       1303;2023090220:31;    1;  120.0;    0.0;    0.0;   0;   105.69;2023090221:00;eor
       1303;2023090221:31;    1;  121.0;    0.0;    0.0;   0;   112.63;2023090222:00;eor
       1303;2023090222:31;    1;  118.0;    0.0;    0.0;   0;   117.75;2023090223:00;eor
       1303;2023090223:31;    1;  117.0;    0.0;    0.0;   0;   120.51;2023090300:00;eor
       1303;2023090300:31;    1;  117.0;    0.0;    0.0;   0;   120.52;2023090301:00;eor
       1303;2023090301:31;    1;  119.0;    0.0;    0.0;   0;   117.80;2023090302:00;eor
       1303;2023090302:31;    1;  118.0;    0.0;    0.0;   0;   112.70;2023090303:00;eor
       1303;2023090303:31;    1;  116.0;    0.0;    0.0;   0;   105.78;2023090304:00;eor
       1303;2023090304:31;    1;  118.0;    0.0;    0.0;   0;    97.61;2023090305:00;eor
       1303;2023090305:31;    1;  118.0;    4.0;    5.0;   0;    88.67;2023090306:00;eor
       1303;2023090306:31;    1;  126.0;   30.0;   31.0;   0;    79.37;2023090307:00;eor
       1303;2023090307:31;    1;  119.0;   64.0;   76.0;  27;    70.11;2023090308:00;eor
       1303;2023090308:31;    1;  117.0;   82.0;  140.0;  44;    61.33;2023090309:00;eor
       1303;2023090309:31;    1;  117.0;   70.0;  197.0;  60;    53.58;2023090310:00;eor
       1303;2023090310:31;    1;  119.0;   79.0;  222.0;  60;    47.61;2023090311:00;eor
       1303;2023090311:31;    1;  122.0;  101.0;  236.0;  60;    44.29;2023090312:00;eor
       1303;2023090312:31;    1;  126.0;  128.0;  187.0;  58;    44.30;2023090313:00;eor
       1303;2023090313:31;    1;  123.0;  108.0;  195.0;  57;    47.65;2023090314:00;eor
       1303;2023090314:31;    1;  122.0;   85.0;  169.0;  60;    53.65;2023090315:00;eor
       1303;2023090315:31;    1;  120.0;   52.0;  140.0;  60;    61.42;2023090316:00;eor
       1303;2023090316:31;    1;  122.0;   43.0;   85.0;  58;    70.22;2023090317:00;eor
       1303;2023090317:31;    1;  121.0;   20.0;   22.0;   0;    79.50;2023090318:00;eor
       1303;2023090318:31;    1;  123.0;    3.0;    4.0;   0;    88.83;2023090319:00;eor
       1303;2023090319:31;    1;  120.0;    0.0;    0.0;   0;    97.80;2023090320:00;eor
       1303;2023090320:31;    1;  116.0;    0.0;    0.0;   0;   106.01;2023090321:00;eor
       1303;2023090321:31;    1;  115.0;    0.0;    0.0;   0;   112.96;2023090322:00;eor
       1303;2023090322:31;    1;  115.0;    0.0;    0.0;   0;   118.11;2023090323:00;eor
       1303;2023090323:31;    1;  114.0;    0.0;    0.0;   0;   120.87;2023090400:00;eor
       1303;2023090400:31;    1;  113.0;    0.0;    0.0;   0;   120.89;2023090401:00;eor
       1303;2023090401:31;    1;  113.0;    0.0;    0.0;   0;   118.15;2023090402:00;eor
       1303;2023090402:31;    1;  113.0;    0.0;    0.0;   0;   113.03;2023090403:00;eor
       1303;2023090403:31;    1;  112.0;    0.0;    0.0;   0;   106.10;2023090404:00;eor
       1303;2023090404:31;    1;  111.0;    0.0;    0.0;   0;    97.91;2023090405:00;eor
       1303;2023090405:31;    1;  112.0;    4.0;    6.0;  14;    88.96;2023090406:00;eor
       1303;2023090406:31;    1;  111.0;   18.0;   45.0;  60;    79.66;2023090407:00;eor
       1303;2023090407:31;    1;  113.0;   29.0;   96.0;  60;    70.40;2023090408:00;eor
       1303;2023090408:31;    1;  115.0;   38.0;  139.0;  60;    61.63;2023090409:00;eor
       1303;2023090409:31;    1;  117.0;   38.0;  197.0;  60;    53.90;2023090410:00;eor
       1303;2023090410:31;    1;  119.0;   35.0;  238.0;  60;    47.95;2023090411:00;eor
       1303;2023090411:31;    1;  121.0;   43.0;  250.0;  60;    44.65;2023090412:00;eor
       1303;2023090412:31;    1;  124.0;   43.0;  260.0;  60;    44.67;2023090413:00;eor
       1303;2023090413:31;    1;  125.0;   40.0;  235.0;  60;    48.00;2023090414:00;eor
       1303;2023090414:31;    1;  126.0;   32.0;  211.0;  60;    53.97;2023090415:00;eor
       1303;2023090415:31;    1;  127.0;   26.0;  164.0;  60;    61.72;2023090416:00;eor
       1303;2023090416:31;    1;  127.0;   22.0;  101.0;  60;    70.51;2023090417:00;eor
       1303;2023090417:31;    1;  126.0;   17.0;   44.0;  60;    79.79;2023090418:00;eor
       1303;2023090418:31;    1;  126.0;    4.0;    5.0;  10;    89.11;2023090419:00;eor
       1303;2023090419:31;    1;  125.0;    0.0;    0.0;   0;    98.10;2023090420:00;eor
       1303;2023090420:31;    1;  124.0;    0.0;    0.0;   0;   106.32;2023090421:00;eor
       1303;2023090421:31;    1;  123.0;    0.0;    0.0;   0;   113.30;2023090422:00;eor
       1303;2023090422:31;    1;  123.0;    0.0;    0.0;   0;   118.46;2023090423:00;eor
       1303;2023090423:31;    1;  123.0;    0.0;    0.0;   0;   121.24;2023090500:00;eor
       1303;2023090500:31;    1;  121.0;    0.0;    0.0;   0;   121.26;2023090501:00;eor
       1303;2023090501:31;    1;  121.0;    0.0;    0.0;   0;   118.51;2023090502:00;eor
       1303;2023090502:31;    1;  121.0;    0.0;    0.0;   0;   113.37;2023090503:00;eor
       1303;2023090503:31;    1;  120.0;    0.0;    0.0;   0;   106.41;2023090504:00;eor
       1303;2023090504:31;    1;  119.0;    0.0;    0.0;   0;    98.21;2023090505:00;eor
       1303;2023090505:31;    1;  118.0;    3.0;    4.0;  10;    89.25;2023090506:00;eor
       1303;2023090506:31;    1;  119.0;   12.0;   48.0;  60;    79.94;2023090507:00;eor
       1303;2023090507:31;    1;  121.0;   17.0;  106.0;  60;    70.70;2023090508:00;eor
       1303;2023090508:30;    1;  123.0;   19.0;  162.0;  60;    61.94;2023090509:00;eor
       1303;2023090509:30;    1;  126.0;   21.0;  208.0;  60;    54.23;2023090510:00;eor
       1303;2023090510:30;    1;  128.0;   22.0;  240.0;  60;    48.30;2023090511:00;eor
       1303;2023090511:30;    1;  129.0;   23.0;  260.0;  60;    45.02;2023090512:00;eor
       1303;2023090512:30;    1;  130.0;   22.0;  259.0;  60;    45.04;2023090513:00;eor
       1303;2023090513:30;    1;  131.0;   21.0;  240.0;  60;    48.35;2023090514:00;eor
       1303;2023090514:30;    1;  131.0;   20.0;  207.0;  60;    54.30;2023090515:00;eor
       1303;2023090515:30;    1;  131.0;   20.0;  156.0;  60;    62.03;2023090516:00;eor
       1303;2023090516:30;    1;  130.0;   16.0;  103.0;  60;    70.81;2023090517:00;eor
       1303;2023090517:30;    1;  127.0;   11.0;   40.0;  60;    80.08;2023090518:00;eor
       1303;2023090518:30;    1;  125.0;    2.0;    3.0;  13;    89.40;2023090519:00;eor
       1303;2023090519:30;    1;  123.0;    0.0;    0.0;   0;    98.40;2023090520:00;eor
       1303;2023090520:30;    1;  120.0;    0.0;    0.0;   0;   106.64;2023090521:00;eor
       1303;2023090521:30;    1;  120.0;    0.0;    0.0;   0;   113.64;2023090522:00;eor
       1303;2023090522:30;    1;  120.0;    0.0;    0.0;   0;   118.82;2023090523:00;eor
       1303;2023090523:30;    1;  120.0;    0.0;    0.0;   0;   121.61;2023090600:00;eor
       1303;2023090600:30;    1;  122.0;    0.0;    0.0;   0;   121.63;2023090601:00;eor
       1303;2023090601:30;    1;  122.0;    0.0;    0.0;   0;   118.86;2023090602:00;eor
       1303;2023090602:30;    1;  121.0;    0.0;    0.0;   0;   113.71;2023090603:00;eor
       1303;2023090603:30;    1;  120.0;    0.0;    0.0;   0;   106.73;2023090604:00;eor
       1303;2023090604:30;    1;  118.0;    0.0;    0.0;   0;    98.51;2023090605:00;eor
       1303;2023090605:30;    1;  117.0;    2.0;    3.0;  13;    89.54;2023090606:00;eor
       1303;2023090606:30;    1;  118.0;   12.0;   47.0;  60;    80.23;2023090607:00;eor
       1303;2023090607:30;    1;  119.0;   17.0;  105.0;  60;    70.99;2023090608:00;eor
       1303;2023090608:30;    1;  122.0;   20.0;  161.0;  60;    62.25;2023090609:00;eor
       1303;2023090609:30;    1;  125.0;   22.0;  209.0;  60;    54.56;2023090610:00;eor
       1303;2023090610:30;    1;  127.0;   23.0;  241.0;  60;    48.65;2023090611:00;eor
       1303;2023090611:30;    1;  129.0;   24.0;  260.0;  60;    45.39;2023090612:00;eor
       1303;2023090612:30;    1;  130.0;   23.0;  260.0;  60;    45.41;2023090613:00;eor
       1303;2023090613:30;    1;  132.0;   24.0;  240.0;  60;    48.70;2023090614:00;eor
       1303;2023090614:30;    1;  133.0;   23.0;  205.0;  60;    54.63;2023090615:00;eor
       1303;2023090615:30;    1;  133.0;   22.0;  157.0;  60;    62.34;2023090616:00;eor
       1303;2023090616:30;    1;  133.0;   19.0;  100.0;  60;    71.10;2023090617:00;eor
       1303;2023090617:30;    1;  133.0;   12.0;   38.0;  60;    80.37;2023090618:00;eor
       1303;2023090618:30;    1;  131.0;    2.0;    3.0;  13;    89.70;2023090619:00;eor
       1303;2023090619:30;    1;  129.0;    0.0;    0.0;   0;    98.70;2023090620:00;eor
       1303;2023090620:30;    1;  125.0;    0.0;    0.0;   0;   106.96;2023090621:00;eor
       1303;2023090621:30;    1;  124.0;    0.0;    0.0;   0;   113.97;2023090622:00;eor
       1303;2023090622:30;    1;  122.0;    0.0;    0.0;   0;   119.18;2023090623:00;eor
       1303;2023090623:30;    1;  121.0;    0.0;    0.0;   0;   121.98;2023090700:00;eor
       1303;2023090700:30;    1;  121.0;    0.0;    0.0;   0;   122.00;2023090701:00;eor
       1303;2023090701:30;    1;  119.0;    0.0;    0.0;   0;   119.22;2023090702:00;eor
       1303;2023090702:30;    1;  119.0;    0.0;    0.0;   0;   114.05;2023090703:00;eor
       1303;2023090703:30;    1;  118.0;    0.0;    0.0;   0;   107.05;2023090704:00;eor
       1303;2023090704:30;    1;  117.0;    0.0;    0.0;   0;    98.81;2023090705:00;eor
       1303;2023090705:30;    1;  117.0;    2.0;    3.0;  11;    89.83;2023090706:00;eor
       1303;2023090706:30;    1;  117.0;   13.0;   46.0;  60;    80.52;2023090707:00;eor
       1303;2023090707:30;    1;  119.0;   19.0;  103.0;  60;    71.29;2023090708:00;eor
       1303;2023090708:30;    1;  122.0;   22.0;  160.0;  60;    62.56;2023090709:00;eor
       1303;2023090709:30;    1;  124.0;   25.0;  208.0;  60;    54.89;2023090710:00;eor
       1303;2023090710:30;    1;  127.0;   26.0;  241.0;  60;    49.01;2023090711:00;eor
       1303;2023090711:30;    1;  129.0;   27.0;  259.0;  60;    45.76;2023090712:00;eor
       1303;2023090712:30;    1;  130.0;   26.0;  259.0;  60;    45.78;2023090713:00;eor
       1303;2023090713:30;    1;  132.0;   25.0;  238.0;  60;    49.05;2023090714:00;eor
       1303;2023090714:30;    1;  133.0;   24.0;  204.0;  60;    54.96;2023090715:00;eor
       1303;2023090715:30;    1;  133.0;   22.0;  155.0;  60;    62.65;2023090716:00;eor
       1303;2023090716:30;    1;  132.0;   18.0;  100.0;  60;    71.40;2023090717:00;eor
       1303;2023090717:30;    1;  130.0;   12.0;   36.0;  60;    80.66;2023090718:00;eor
       1303;2023090718:30;    1;  127.0;    2.0;    2.0;  11;    89.99;2023090719:00;eor
       1303;2023090719:30;    1;  124.0;    0.0;    0.0;   0;    99.00;2023090720:00;eor
